city,season,metric,pre_status,pre_action,pre_stored_bias_c,pre_recomputed_bias_c,pre_delta_bias_c,pre_stored_sd_c,pre_recomputed_sd_c,pre_n_live,pre_n_prior,pre_n_paired,pre_reason,post_status,post_authority,post_stored_bias_c,post_stored_sd_c,post_n_live,post_n_prior,post_n_paired,post_stored_paired_delta_c,post_recomputed_bias_c,post_recomputed_sd_c,post_coverage_months_observed,post_delta_bias_c,post_fit_signature_hash,delta_bias_pre_to_post_stored,pre_sign_flip_vs_recompute,transition_class,notes
Amsterdam,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-1.09614080085606,-1.5181200193826627,-0.4219792185266027,0.8920126467563134,0.9250216107482233,16,35,3,pregate_ungated_paired_delta delta_bias=-0.4220 paired_delta_mean=+0.4220,REPRODUCIBLE,STAGING,-1.5181200193826627,0.8920126467563134,14,35,,,-1.5181200193826627,0.8920126467563134,"4,5",0.0,88b170b38daa0386,-0.422,no,FIXED_NONREPR_TO_REPR,
Ankara,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.7386942732567654,-0.7386942732567654,0.0,1.518696311294813,1.518696311294813,0,38,0,within_tolerance,REPRODUCIBLE,STAGING,-0.7386942732567654,1.518696311294813,0,38,,,-0.7386942732567654,1.518696311294813,"1,2",0.0,f04fcc9fcb671cd0,0.0,no,STABLE_REPR,
Ankara,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.6134601771381776,-1.6134601771381776,0.0,1.2529723058514042,1.2217792786935815,16,64,0,within_tolerance,REPRODUCIBLE,STAGING,-1.6134601771381776,1.2529723058514042,15,64,,,-1.6134601771381776,1.2529723058514042,"3,4,5",0.0,841c737380dc12e5,0.0,no,STABLE_REPR,
Atlanta,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.3395863281481402,-0.3395863281481402,0.0,2.291970321744011,2.291970321744011,0,76,0,within_tolerance,REPRODUCIBLE,STAGING,-0.3395863281481402,2.291970321744011,0,76,,,-0.3395863281481402,2.291970321744011,"1,2,12",0.0,c1849c8901df3359,0.0,no,STABLE_REPR,
Atlanta,MAM,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-0.6197626473948341,-0.6197626473948341,0.0,1.1984430829892683,1.203105297447899,14,63,0,within_tolerance,REPRODUCIBLE,STAGING,-0.6197626473948341,1.1984430829892683,13,63,,,-0.6197626473948341,1.1984430829892683,"3,4,5",0.0,5926adebda1116c5,0.0,no,STABLE_REPR,
Austin,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-2.0815079773723357,0.4126502999522653,2.494158277324601,1.879996732022324,1.7652977602931461,15,42,1,pregate_ungated_paired_delta delta_bias=+2.4942 paired_delta_mean=-2.4942,REPRODUCIBLE,STAGING,0.4126502999522653,1.879996732022324,13,42,,,0.4126502999522653,1.879996732022324,"3,4,5",0.0,b7300d9ef55cff6b,2.4942,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=+2.494C;pre-sd3-sign-flip-detected
Beijing,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,-1.7422238103943999,0.0021416573503142554,1.7443654677447142,3.2271899983584547,3.1635922514538173,15,47,2,pregate_ungated_paired_delta delta_bias=+1.7444 paired_delta_mean=-1.7444,REPRODUCIBLE,STAGING,0.0021416573503142554,3.2271899983584547,14,47,,,0.0021416573503142554,3.2271899983584547,"3,4,5",0.0,2e5e00b0a49ad5f8,1.7444,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=+1.744C;pre-sd3-sign-flip-detected
Buenos Aires,DJF,high,REPRODUCIBLE,A_REUSE_PENDING_REPLAY,-1.875975441265909,-1.875975441265909,0.0,1.2766809275744473,1.2766809275744473,0,75,0,within_tolerance,REPRODUCIBLE,STAGING,-1.875975441265909,1.2766809275744473,0,75,,,-1.875975441265909,1.2766809275744473,"1,2,12",0.0,a1dad24bf02b9de2,0.0,no,STABLE_REPR,
Buenos Aires,JJA,high,,,,,,,,,,,,INSUFFICIENT_PRIOR,STAGING,-1.875975441265909,1.2766809275744473,0,75,,,,,,,ae61b30ac29b500e,,,NEW_ROW_POST_SD3,hemisphere-aware-producer-unlocked
Buenos Aires,MAM,high,NON_REPRODUCIBLE,B_REFIT_AND_REGEN_COHORT,0.6249938410784832,-1.5945083274647143,-2.2195021685431975,0.8860155047839857,0.8718643864906516,16,66,1,pregate_ungated_paired_delta delta_bias=-2.2195 paired_delta_mean=+2.2195,REPRODUCIBLE,STAGING,-1.5945083274647143,0.8860155047839857,14,66,,,-1.5945083274647143,0.8860155047839857,"3,4,5",0.0,54d706b38f8a397a,-2.2195,yes,FIXED_NONREPR_TO_REPR,large-pre-delta=-2.220C;pre-sd3-sign-flip-detected
