city,season,metric,status,stored_bias_c,recomputed_bias_c,delta_bias_c,stored_sd_c,recomputed_sd_c,delta_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,reason,action,how
Amsterdam,MAM,high,NON_REPRODUCIBLE,-1.09614080085606,-1.5181200193826627,-0.4219792185266027,0.8920126467563134,0.9250216107482233,0.03300896399190989,16,35,3,pregate_ungated_paired_delta delta_bias=-0.4220 paired_delta_mean=+0.4220,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Ankara,DJF,high,REPRODUCIBLE,-0.7386942732567654,-0.7386942732567654,0.0,1.518696311294813,1.518696311294813,0.0,0,38,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Ankara,MAM,high,REPRODUCIBLE,-1.6134601771381776,-1.6134601771381776,0.0,1.2529723058514042,1.2217792786935815,-0.031193027157822684,16,64,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Atlanta,DJF,high,REPRODUCIBLE,-0.3395863281481402,-0.3395863281481402,0.0,2.291970321744011,2.291970321744011,0.0,0,76,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Atlanta,MAM,high,REPRODUCIBLE,-0.6197626473948341,-0.6197626473948341,0.0,1.1984430829892683,1.203105297447899,0.004662214458630798,14,63,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Austin,MAM,high,NON_REPRODUCIBLE,-2.0815079773723357,0.4126502999522653,2.494158277324601,1.879996732022324,1.7652977602931461,-0.11469897172917798,15,42,1,pregate_ungated_paired_delta delta_bias=+2.4942 paired_delta_mean=-2.4942,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Beijing,MAM,high,NON_REPRODUCIBLE,-1.7422238103943999,0.0021416573503142554,1.7443654677447142,3.2271899983584547,3.1635922514538173,-0.06359774690463738,15,47,2,pregate_ungated_paired_delta delta_bias=+1.7444 paired_delta_mean=-1.7444,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Buenos Aires,DJF,high,REPRODUCIBLE,-1.875975441265909,-1.875975441265909,0.0,1.2766809275744473,1.2766809275744473,0.0,0,75,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Buenos Aires,MAM,high,NON_REPRODUCIBLE,0.6249938410784832,-1.5945083274647143,-2.2195021685431975,0.8860155047839857,0.8718643864906516,-0.014151118293334153,16,66,1,pregate_ungated_paired_delta delta_bias=-2.2195 paired_delta_mean=+2.2195,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Busan,MAM,high,NON_REPRODUCIBLE,1.1112245917654398,-3.9181022024288006,-5.02932679419424,1.5677594379864614,1.5315328395466699,-0.03622659843979159,15,34,1,pregate_ungated_paired_delta delta_bias=-5.0293 paired_delta_mean=+5.0293,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Cape Town,MAM,high,REPRODUCIBLE,-0.8838207061277753,-0.8838207061277753,0.0,1.2069463276067613,1.289213602224862,0.08226727461810057,14,26,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Chengdu,MAM,high,NON_REPRODUCIBLE,-0.34460886353922293,-0.7356144356899584,-0.3910055721507355,2.194321935627678,2.1218336488160485,-0.07248828681162944,15,46,2,pregate_ungated_paired_delta delta_bias=-0.3910 paired_delta_mean=+0.3910,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Chicago,DJF,high,REPRODUCIBLE,-1.4463510525771766,-1.4463510525771766,0.0,1.369591511601212,1.369591511601212,0.0,0,40,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
Chicago,MAM,high,NON_REPRODUCIBLE,-2.273080773803233,-2.2157626779838404,0.0573180958193924,1.853565512993576,1.792353835320067,-0.06121167767350899,16,69,5,bias_diff delta_bias=+0.0573,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Chongqing,MAM,high,NON_REPRODUCIBLE,-0.25428732157110506,0.2637256789171744,0.5180130004882795,2.0007594541483638,1.928016100309348,-0.07274335383901587,15,47,2,pregate_ungated_paired_delta delta_bias=+0.5180 paired_delta_mean=-0.5180,B_REFIT_AND_REGEN_COHORT,recompute v2 row under current gate; regenerate p_raw pairs for this cohort only
Dallas,DJF,high,REPRODUCIBLE,-1.2004916227015754,-1.2004916227015754,0.0,1.5679715131019747,1.5679715131019747,0.0,0,77,0,within_tolerance,A_REUSE_PENDING_REPLAY,copy to v2 as candidate; gate on p_raw replay-equivalence
