city,season,month,metric,family,live_data_version,prior_data_version,training_cutoff,stored_bias_c,stored_sd_c,stored_n_live,stored_n_prior,stored_n_paired,stored_paired_delta_c,stored_code_commit,stored_fit_signature_hash,stored_authority,status,reason,recomputed_bias_c,recomputed_sd_c,recomputed_n_live,recomputed_n_prior,recomputed_n_paired,recomputed_paired_delta_c,coverage_months_observed,delta_bias_c,delta_sd_c
Amsterdam,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.5181200193826627,0.8920126467563134,14,35,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,88b170b38daa0386,STAGING,REPRODUCIBLE,within_tolerance,-1.5181200193826627,0.8920126467563134,14,35,3,0.42197921852660275,"4,5",0.0,0.0
Ankara,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.7386942732567654,1.518696311294813,0,38,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,f04fcc9fcb671cd0,STAGING,REPRODUCIBLE,within_tolerance,-0.7386942732567654,1.518696311294813,0,38,0,,"1,2",0.0,0.0
Ankara,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.6134601771381776,1.2529723058514042,15,64,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,841c737380dc12e5,STAGING,REPRODUCIBLE,within_tolerance,-1.6134601771381776,1.2529723058514042,15,64,0,,"3,4,5",0.0,0.0
Atlanta,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.3395863281481402,2.291970321744011,0,76,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c1849c8901df3359,STAGING,REPRODUCIBLE,within_tolerance,-0.3395863281481402,2.291970321744011,0,76,0,,"1,2,12",0.0,0.0
Atlanta,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.6197626473948341,1.1984430829892683,13,63,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,5926adebda1116c5,STAGING,REPRODUCIBLE,within_tolerance,-0.6197626473948341,1.1984430829892683,13,63,0,,"3,4,5",0.0,0.0
Austin,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.4126502999522653,1.879996732022324,13,42,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,b7300d9ef55cff6b,STAGING,REPRODUCIBLE,within_tolerance,0.4126502999522653,1.879996732022324,13,42,1,-2.494158277324601,"3,4,5",0.0,0.0
Beijing,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,0.0021416573503142554,3.2271899983584547,14,47,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,2e5e00b0a49ad5f8,STAGING,REPRODUCIBLE,within_tolerance,0.0021416573503142554,3.2271899983584547,14,47,2,-1.7443654677447142,"3,4,5",0.0,0.0
Buenos Aires,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.875975441265909,1.2766809275744473,0,75,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,a1dad24bf02b9de2,STAGING,REPRODUCIBLE,within_tolerance,-1.875975441265909,1.2766809275744473,0,75,0,,"1,2,12",0.0,0.0
Buenos Aires,JJA,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.875975441265909,1.2766809275744473,0,75,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,ae61b30ac29b500e,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Buenos Aires,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.5945083274647143,0.8860155047839857,14,66,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,54d706b38f8a397a,STAGING,REPRODUCIBLE,within_tolerance,-1.5945083274647143,0.8860155047839857,14,66,1,2.2195021685431975,"3,4,5",0.0,0.0
Buenos Aires,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.5945083274647143,0.8860155047839857,14,66,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e782aad133923482,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Busan,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-3.9181022024288006,1.5677594379864614,13,34,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,40340a5d326d3099,STAGING,REPRODUCIBLE,within_tolerance,-3.9181022024288006,1.5677594379864614,13,34,1,5.02932679419424,"4,5",0.0,0.0
Cape Town,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.8838207061277753,1.2069463276067613,13,26,,,ff878ab5b46b4d317cb2a49f6daf2425af7020a5,c730031f262301e4,STAGING,REPRODUCIBLE,within_tolerance,-0.8838207061277753,1.2069463276067613,13,26,0,,"4,5",0.0,0.0
Cape Town,SON,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.8838207061277753,1.2069463276067613,13,26,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,d328c3cc12b6f46b,STAGING,INSUFFICIENT_PRIOR,n_prior=0<5,,,0,0,0,,,,
Chengdu,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-0.7356144356899584,2.194321935627678,14,46,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,92aa47c8bcca8118,STAGING,REPRODUCIBLE,within_tolerance,-0.7356144356899584,2.194321935627678,14,46,2,0.3910055721507355,"3,4,5",0.0,0.0
Chicago,DJF,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-1.4463510525771766,1.369591511601212,0,40,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,c32e17f3cc0bcbc6,STAGING,REPRODUCIBLE,within_tolerance,-1.4463510525771766,1.369591511601212,0,40,0,,"1,2,12",0.0,0.0
Chicago,MAM,0,high,full_transport_v1,ecmwf_opendata_mx2t3_local_calendar_day_max_v1,tigge_mx2t6_local_calendar_day_max_v1,2026-05-28,-2.273080773803233,1.853565512993576,15,68,,,13a8e9354ae1875ed722bd01d0f63352ba2e9182,e3b3294290834bcf,STAGING,REPRODUCIBLE,within_tolerance,-2.273080773803233,1.853565512993576,15,68,5,-2.0618870155484075,"3,4,5",0.0,0.0
