overlay_id,city_key,city_name,icao,lat,lon,role_layer,role_kind,source_family,source_instance_key,provider,product_name,station_or_product_id,source_station_name,source_station_lat,source_station_lon,distance_km,distance_basis,coverage_relation,priority_rank,is_primary,is_derived,derived_from,endpoint_url,delay_minutes,delay_basis,freshness_rule,valid_from,valid_to,verification_status,evidence_refs,notes
amsterdam|forecast|openmeteo_forecast_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_amsterdam,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,52.31,4.76,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
amsterdam|forecast|openmeteo_ensemble_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,forecast,forecast_ensemble,openmeteo_ensemble,openmeteo_ensemble_amsterdam,Open-Meteo,Open-Meteo Ensemble API,ensemble-api.open-meteo.com/v1/ensemble,Open-Meteo city grid point,52.31,4.76,0.000,model_anchor,city,20,true,false,,https://ensemble-api.open-meteo.com/v1/ensemble,360,model-cycle dependent; ensemble follows upstream update cadence,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs/ensemble-api; https://open-meteo.com/en/docs/model-updates,Ensemble member family used in the forecast stack.
amsterdam|forecast|openmeteo_previous_runs_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,forecast,forecast_multi_model,openmeteo_previous_runs,openmeteo_previous_runs_amsterdam,Open-Meteo,Open-Meteo Previous Runs / Multi-Model,previous-runs-api.open-meteo.com/v1/forecast,Open-Meteo city grid point,52.31,4.76,0.000,model_anchor,city,30,true,true,openmeteo upstream models,https://previous-runs-api.open-meteo.com/v1/forecast,720,reconstructed previous-runs lag / safe-fetch window,reconstructed latest available run,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Redistributed previous-run / multi-model family; used as the third Open-Meteo forecast leg.
amsterdam|history|wu_history_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,history,settlement_history,wu_icao_history,wu_history_amsterdam,Weather Underground,Weather Underground Historical Weather,EHAM,EHAM,52.31,4.76,0.000,same_airport_proxy,city,100,true,false,,https://www.wunderground.com/history/daily/nl/amsterdam/EHAM,40.0,city-specific measured publication delay from config/wu_obs_latency.json,local-day settlement anchor,2026-04-21,,repo_measured,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/config/wu_obs_latency.json; https://www.wunderground.com/history/daily/nl/amsterdam/EHAM,WU settlement/history page; current settlement source in config/cities.json.
amsterdam|history|meteostat_bulk_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,history,meteostat_bulk_history,meteostat_bulk,meteostat_bulk_amsterdam,Meteostat,Meteostat bulk hourly archive,06240,06240,52.31,4.76,0.000,airport_proxy_unverified,history_only,120,false,true,wu_icao_history,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz,,archive lag is weeks to months; no stable minute SLA,historical fill only,2026-04-21,,repo_measured,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz; https://bulk.meteostat.net/v2/stations/full.json.gz,Historical fallback for sparse stations; not a live feed.
amsterdam|observation|aviationweather_metar_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,observation,airport_metar,aviationweather_metar,aviationweather_metar_amsterdam,AviationWeather.gov,Aviation Weather METAR,EHAM,EHAM,52.31,4.76,0.000,same_airport_proxy,airport,200,true,false,,https://aviationweather.gov/api/data/metar,5,repo-measured fast-lane latency; official pages do not publish a fixed SLA,latest-report receipt time,2026-04-21,,repo_measured,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Airport METAR feed used for local current observation support; not used for HK or NOAA-settled cities.
amsterdam|observation|aviationweather_taf_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,observation,airport_taf,aviationweather_taf,aviationweather_taf_amsterdam,AviationWeather.gov,Aviation Weather TAF,EHAM,EHAM,52.31,4.76,0.000,same_airport_proxy,airport,210,false,false,,https://aviationweather.gov/api/data/taf,,report/issuer driven; no fixed SLA published,latest available forecast bulletin,2026-04-21,,official_partial,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Terminal forecast bulletin for the airport station.
amsterdam|observation|knmi_current_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,observation,knmi_current,knmi_10min_in_situ,knmi_current_amsterdam,KNMI,KNMI 10-minute in-situ observations,06240,Schiphol Airport 06240,52.32,4.79,2.323,official_station_report,city,250,true,false,,https://api.dataplatform.knmi.nl/open-data/v1,10,official 10-minute station cadence,10-minute current obs,2026-04-21,,official_explicit,https://dataplatform.knmi.nl/dataset/10-minute-in-situ-meteorological-observations-1-0; https://dataplatform.knmi.nl/dataset/actuele10mindataknmistations-2,Amsterdam current observation family.
amsterdam|nearby|knmi_official_nearby_amsterdam,amsterdam,Amsterdam,EHAM,52.31,4.76,nearby,knmi_official_nearby,knmi_official_nearby,knmi_official_nearby_amsterdam,KNMI,KNMI official nearby station support,06240,Schiphol Airport 06240,52.32,4.79,2.323,official_station_report,nearby_cluster,255,false,true,knmi_current,https://api.dataplatform.knmi.nl/open-data/v1,10,same 10-minute in-situ cadence,official nearby fallback,2026-04-21,,official_explicit,https://dataplatform.knmi.nl/dataset/10-minute-in-situ-meteorological-observations-1-0; https://dataplatform.knmi.nl/dataset/actuele10mindataknmistations-2,Amsterdam nearby official support from KNMI.
ankara|forecast|openmeteo_forecast_ankara,ankara,Ankara,LTAC,40.13,32.99,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_ankara,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,40.13,32.99,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
ankara|forecast|openmeteo_ensemble_ankara,ankara,Ankara,LTAC,40.13,32.99,forecast,forecast_ensemble,openmeteo_ensemble,openmeteo_ensemble_ankara,Open-Meteo,Open-Meteo Ensemble API,ensemble-api.open-meteo.com/v1/ensemble,Open-Meteo city grid point,40.13,32.99,0.000,model_anchor,city,20,true,false,,https://ensemble-api.open-meteo.com/v1/ensemble,360,model-cycle dependent; ensemble follows upstream update cadence,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs/ensemble-api; https://open-meteo.com/en/docs/model-updates,Ensemble member family used in the forecast stack.
ankara|forecast|openmeteo_previous_runs_ankara,ankara,Ankara,LTAC,40.13,32.99,forecast,forecast_multi_model,openmeteo_previous_runs,openmeteo_previous_runs_ankara,Open-Meteo,Open-Meteo Previous Runs / Multi-Model,previous-runs-api.open-meteo.com/v1/forecast,Open-Meteo city grid point,40.13,32.99,0.000,model_anchor,city,30,true,true,openmeteo upstream models,https://previous-runs-api.open-meteo.com/v1/forecast,720,reconstructed previous-runs lag / safe-fetch window,reconstructed latest available run,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Redistributed previous-run / multi-model family; used as the third Open-Meteo forecast leg.
ankara|history|wu_history_ankara,ankara,Ankara,LTAC,40.13,32.99,history,settlement_history,wu_icao_history,wu_history_ankara,Weather Underground,Weather Underground Historical Weather,LTAC,LTAC,40.13,32.99,0.000,same_airport_proxy,city,100,true,false,,https://www.wunderground.com/history/daily/tr/ankara/LTAC,40.0,city-specific measured publication delay from config/wu_obs_latency.json,local-day settlement anchor,2026-04-21,,repo_measured,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/config/wu_obs_latency.json; https://www.wunderground.com/history/daily/tr/ankara/LTAC,WU settlement/history page; current settlement source in config/cities.json.
ankara|history|meteostat_bulk_ankara,ankara,Ankara,LTAC,40.13,32.99,history,meteostat_bulk_history,meteostat_bulk,meteostat_bulk_ankara,Meteostat,Meteostat bulk hourly archive,17128,17128,40.13,32.99,0.000,airport_proxy_unverified,history_only,120,false,true,wu_icao_history,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz,,archive lag is weeks to months; no stable minute SLA,historical fill only,2026-04-21,,repo_measured,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz; https://bulk.meteostat.net/v2/stations/full.json.gz,Historical fallback for sparse stations; not a live feed.
ankara|observation|aviationweather_metar_ankara,ankara,Ankara,LTAC,40.13,32.99,observation,airport_metar,aviationweather_metar,aviationweather_metar_ankara,AviationWeather.gov,Aviation Weather METAR,LTAC,LTAC,40.13,32.99,0.000,same_airport_proxy,airport,200,true,false,,https://aviationweather.gov/api/data/metar,5,repo-measured fast-lane latency; official pages do not publish a fixed SLA,latest-report receipt time,2026-04-21,,repo_measured,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Airport METAR feed used for local current observation support; not used for HK or NOAA-settled cities.
ankara|observation|aviationweather_taf_ankara,ankara,Ankara,LTAC,40.13,32.99,observation,airport_taf,aviationweather_taf,aviationweather_taf_ankara,AviationWeather.gov,Aviation Weather TAF,LTAC,LTAC,40.13,32.99,0.000,same_airport_proxy,airport,210,false,false,,https://aviationweather.gov/api/data/taf,,report/issuer driven; no fixed SLA published,latest available forecast bulletin,2026-04-21,,official_partial,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Terminal forecast bulletin for the airport station.
ankara|observation|mgm_current_ankara,ankara,Ankara,LTAC,40.13,32.99,observation,mgm_current,mgm_current,mgm_current_ankara,Turkish State Meteorological Service (MGM),MGM current observations,LTAC,LTAC,40.13,32.99,0.000,airport_proxy_unverified,national,230,true,false,,https://servis.mgm.gov.tr/web/sondurumlar?istno=17128,,product/update driven; no fixed public SLA,latest station observation,2026-04-21,,official_partial,https://www.mgm.gov.tr/; https://www.mgm.gov.tr/tahmin/il-ve-ilceler.aspx; https://www.mgm.gov.tr/tahmin/saatlik.aspx,MGM current lane for Turkish cities.
ankara|forecast|mgm_forecast_ankara,ankara,Ankara,LTAC,40.13,32.99,forecast,mgm_forecast,mgm_forecast,mgm_forecast_ankara,Turkish State Meteorological Service (MGM),MGM hourly/daily forecast,LTAC,LTAC,40.13,32.99,0.000,airport_proxy_unverified,national,240,true,false,,https://www.mgm.gov.tr/tahmin/saatlik.aspx,,product/update driven; no fixed public SLA,latest issued forecast bulletin,2026-04-21,,official_partial,https://www.mgm.gov.tr/; https://www.mgm.gov.tr/tahmin/il-ve-ilceler.aspx; https://www.mgm.gov.tr/tahmin/saatlik.aspx,MGM forecast lane for Turkish cities.
ankara|nearby|mgm_nearby_ankara,ankara,Ankara,LTAC,40.13,32.99,nearby,mgm_nearby,mgm_nearby,mgm_nearby_ankara,Turkish State Meteorological Service (MGM),MGM nearby-station / district network,LTAC,LTAC,40.13,32.99,0.000,airport_proxy_unverified,regional,245,false,true,mgm_current,https://www.mgm.gov.tr/tahmin/il-ve-ilceler.aspx,,regional product; no fixed public SLA,regional fallback,2026-04-21,,official_partial,https://www.mgm.gov.tr/; https://www.mgm.gov.tr/tahmin/il-ve-ilceler.aspx; https://www.mgm.gov.tr/tahmin/saatlik.aspx,Regional fallback/nearby network for Turkish cities.
atlanta|forecast|openmeteo_forecast_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_atlanta,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,33.63,-84.44,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
atlanta|forecast|openmeteo_ensemble_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,forecast,forecast_ensemble,openmeteo_ensemble,openmeteo_ensemble_atlanta,Open-Meteo,Open-Meteo Ensemble API,ensemble-api.open-meteo.com/v1/ensemble,Open-Meteo city grid point,33.63,-84.44,0.000,model_anchor,city,20,true,false,,https://ensemble-api.open-meteo.com/v1/ensemble,360,model-cycle dependent; ensemble follows upstream update cadence,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs/ensemble-api; https://open-meteo.com/en/docs/model-updates,Ensemble member family used in the forecast stack.
atlanta|forecast|openmeteo_previous_runs_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,forecast,forecast_multi_model,openmeteo_previous_runs,openmeteo_previous_runs_atlanta,Open-Meteo,Open-Meteo Previous Runs / Multi-Model,previous-runs-api.open-meteo.com/v1/forecast,Open-Meteo city grid point,33.63,-84.44,0.000,model_anchor,city,30,true,true,openmeteo upstream models,https://previous-runs-api.open-meteo.com/v1/forecast,720,reconstructed previous-runs lag / safe-fetch window,reconstructed latest available run,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Redistributed previous-run / multi-model family; used as the third Open-Meteo forecast leg.
atlanta|forecast|nws_forecast_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,forecast,nws_forecast,nws_forecast,nws_forecast_atlanta,National Weather Service,NWS Points Forecast,"33.6297,-84.4422",NWS forecast point,33.63,-84.44,0.000,model_anchor,national,40,true,false,,"https://api.weather.gov/points/33.62972,-84.44223",,official forecast lifecycle; no fixed public SLA,latest grid-point point forecast,2026-04-21,,official_partial,https://www.weather.gov/documentation/services-web-api,US forecast supplement.
atlanta|history|wu_history_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,history,settlement_history,wu_icao_history,wu_history_atlanta,Weather Underground,Weather Underground Historical Weather,KATL,KATL,33.63,-84.44,0.000,same_airport_proxy,city,100,true,false,,https://www.wunderground.com/history/daily/us/atlanta/KATL,40.0,city-specific measured publication delay from config/wu_obs_latency.json,local-day settlement anchor,2026-04-21,,repo_measured,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/config/wu_obs_latency.json; https://www.wunderground.com/history/daily/us/atlanta/KATL,WU settlement/history page; current settlement source in config/cities.json.
atlanta|history|meteostat_bulk_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,history,meteostat_bulk_history,meteostat_bulk,meteostat_bulk_atlanta,Meteostat,Meteostat bulk hourly archive,72219,72219,33.63,-84.44,0.000,airport_proxy_unverified,history_only,120,false,true,wu_icao_history,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz,,archive lag is weeks to months; no stable minute SLA,historical fill only,2026-04-21,,repo_measured,https://bulk.meteostat.net/v2/hourly/{WMO}.csv.gz; https://bulk.meteostat.net/v2/stations/full.json.gz,Historical fallback for sparse stations; not a live feed.
atlanta|observation|aviationweather_metar_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,observation,airport_metar,aviationweather_metar,aviationweather_metar_atlanta,AviationWeather.gov,Aviation Weather METAR,KATL,KATL,33.63,-84.44,0.000,same_airport_proxy,airport,200,true,false,,https://aviationweather.gov/api/data/metar,5,repo-measured fast-lane latency; official pages do not publish a fixed SLA,latest-report receipt time,2026-04-21,,repo_measured,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Airport METAR feed used for local current observation support; not used for HK or NOAA-settled cities.
atlanta|observation|aviationweather_taf_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,observation,airport_taf,aviationweather_taf,aviationweather_taf_atlanta,AviationWeather.gov,Aviation Weather TAF,KATL,KATL,33.63,-84.44,0.000,same_airport_proxy,airport,210,false,false,,https://aviationweather.gov/api/data/taf,,report/issuer driven; no fixed SLA published,latest available forecast bulletin,2026-04-21,,official_partial,https://aviationweather.gov/data/api/; https://aviationweather.gov/data/metar/,Terminal forecast bulletin for the airport station.
atlanta|observation|madis_hfmetar_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,observation,madis_hfmetar,madis_hfmetar,madis_hfmetar_atlanta,NOAA MADIS,MADIS HFMETAR / 1-minute ASOS,KATL,KATL,33.63,-84.44,0.000,same_airport_proxy,airport,220,true,false,,https://madis-data.ncep.noaa.gov/madisPublic1/data/LDAD/hfmetar/netCDF/,5,official 5-minute processing / storage cadence,near-real-time airport observation,2026-04-21,,official_explicit,https://madis.ncep.noaa.gov/madis_metar.shtml; https://madis.ncep.noaa.gov/madis_OMO.shtml,US airport current-observation mirror used for fill and monitoring.
atlanta|nearby|global_metar_cluster_atlanta,atlanta,Atlanta,KATL,33.63,-84.44,nearby,global_metar_cluster,global_metar_cluster,global_metar_cluster_atlanta,PolyWeather composition over AviationWeather,Global METAR cluster,KATL,Global METAR cluster,33.63,-84.44,0.000,composite_cluster_proxy,nearby_cluster,300,false,true,aviationweather_metar; aviationweather_taf,https://aviationweather.gov/api/data/metar,5,inherits underlying METAR/TAF report timing,cluster fallback only,2026-04-21,,repo_inferred,/Users/leofitz/zeus/config/cities.json; /Users/leofitz/zeus/docs/polyweather_city_source_overlay_verified.csv,Global nearby-station composition; active only for the explicit city cluster list.
auckland|forecast|openmeteo_forecast_auckland,auckland,Auckland,NZAA,-37.01,174.79,forecast,forecast_primary,openmeteo_forecast,openmeteo_forecast_auckland,Open-Meteo,Open-Meteo Forecast API,api.open-meteo.com/v1/forecast,Open-Meteo city grid point,-37.01,174.79,0.000,model_anchor,city,10,true,false,,https://api.open-meteo.com/v1/forecast,360,model-cycle dependent; official docs do not expose a fixed SLA,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs; https://open-meteo.com/en/docs/model-updates,Global baseline forecast feed for the city grid point.
auckland|forecast|openmeteo_ensemble_auckland,auckland,Auckland,NZAA,-37.01,174.79,forecast,forecast_ensemble,openmeteo_ensemble,openmeteo_ensemble_auckland,Open-Meteo,Open-Meteo Ensemble API,ensemble-api.open-meteo.com/v1/ensemble,Open-Meteo city grid point,-37.01,174.79,0.000,model_anchor,city,20,true,false,,https://ensemble-api.open-meteo.com/v1/ensemble,360,model-cycle dependent; ensemble follows upstream update cadence,latest-model snapshot,2026-04-21,,official_partial,https://open-meteo.com/en/docs/ensemble-api; https://open-meteo.com/en/docs/model-updates,Ensemble member family used in the forecast stack.
